uri,count,dia
getAppVersionInfov4 (/v4/authservices/rest/version/{appVersion}),105,lunes 10
getBreakdownById (/v3/authservices/rest/breakdown/{storeId}),319,lunes 10
getCoverageByStoreId (/v3/authservices/rest/coverage/{storeId}),123,lunes 10
getCoverageChartByStoreId (/v3/authservices/rest/coverage/{storeId}/chart),163,lunes 10
getCriteriaType (/v3/authservices/rest/filter/{storeId}/criteriaType),99,lunes 10
getFilters (/v3/authservices/rest/filter/{storeId}),224,lunes 10
getOrdinalsv4 (/v4/authservices/rest/ordinal/{storeId}),100,lunes 10
getPassiveItems (/v3/authservices/rest/passiveitems/{storeId}),156,lunes 10
getRankingById (/v3/authservices/rest/ranking/{storeId}),86,lunes 10
getRankingPreview (/v3/authservices/rest/ranking/{storeId}/preview),160,lunes 10
getSaleById (/v3/authservices/rest/sale/{storeId}),1140,lunes 10
getSalesDateInfo (/v3/authservices/rest/filter/{storeId}/sales),101,lunes 10
getStockBreakdownByStoreId (/v3/authservices/rest/stock/{storeId}/breakdown),160,lunes 10
getStockById (/v3/authservices/rest/stock/{storeId}),163,lunes 10
getWeatherById (/v3/authservices/rest/weather/{storeId}),225,lunes 10
getAppVersionInfov4 (/v4/authservices/rest/version/{appVersion}),89,lunes 3
getBreakdownById (/v3/authservices/rest/breakdown/{storeId}),307,lunes 3
getCoverageByStoreId (/v3/authservices/rest/coverage/{storeId}),107,lunes 3
getCoverageChartByStoreId (/v3/authservices/rest/coverage/{storeId}/chart),159,lunes 3
getCriteriaType (/v3/authservices/rest/filter/{storeId}/criteriaType),87,lunes 3
getFilters (/v3/authservices/rest/filter/{storeId}),226,lunes 3
getOrdinalsv4 (/v4/authservices/rest/ordinal/{storeId}),88,lunes 3
getPassiveItems (/v3/authservices/rest/passiveitems/{storeId}),157,lunes 3
getRankingById (/v3/authservices/rest/ranking/{storeId}),89,lunes 3
getRankingPreview (/v3/authservices/rest/ranking/{storeId}/preview),143,lunes 3
getSaleById (/v3/authservices/rest/sale/{storeId}),1090,lunes 3
getSalesDateInfo (/v3/authservices/rest/filter/{storeId}/sales),79,lunes 3
getStockBreakdownByStoreId (/v3/authservices/rest/stock/{storeId}/breakdown),148,lunes 3
getStockById (/v3/authservices/rest/stock/{storeId}),140,lunes 3
getWeatherById (/v3/authservices/rest/weather/{storeId}),214,lunes 3
getAppVersionInfov4 (/v4/authservices/rest/version/{appVersion}),128,sabado 1
getBreakdownById (/v3/authservices/rest/breakdown/{storeId}),149,sabado 1
getCoverageByStoreId (/v3/authservices/rest/coverage/{storeId}),16,sabado 1
getCoverageChartByStoreId (/v3/authservices/rest/coverage/{storeId}/chart),76,sabado 1
getCriteriaType (/v3/authservices/rest/filter/{storeId}/criteriaType),122,sabado 1
getFilters (/v3/authservices/rest/filter/{storeId}),232,sabado 1
getOrdinalsv4 (/v4/authservices/rest/ordinal/{storeId}),122,sabado 1
getPassiveItems (/v3/authservices/rest/passiveitems/{storeId}),72,sabado 1
getRankingById (/v3/authservices/rest/ranking/{storeId}),31,sabado 1
getRankingPreview (/v3/authservices/rest/ranking/{storeId}/preview),70,sabado 1
getSaleById (/v3/authservices/rest/sale/{storeId}),1430,sabado 1
getSalesDateInfo (/v3/authservices/rest/filter/{storeId}/sales),51,sabado 1
getStockBreakdownByStoreId (/v3/authservices/rest/stock/{storeId}/breakdown),73,sabado 1
getStockById (/v3/authservices/rest/stock/{storeId}),77,sabado 1
getWeatherById (/v3/authservices/rest/weather/{storeId}),329,sabado 1
getAppVersionInfov4 (/v4/authservices/rest/version/{appVersion}),113,sabado 8
getBreakdownById (/v3/authservices/rest/breakdown/{storeId}),135,sabado 8
getCoverageByStoreId (/v3/authservices/rest/coverage/{storeId}),15,sabado 8
getCoverageChartByStoreId (/v3/authservices/rest/coverage/{storeId}/chart),74,sabado 8
getCriteriaType (/v3/authservices/rest/filter/{storeId}/criteriaType),109,sabado 8
getFilters (/v3/authservices/rest/filter/{storeId}),249,sabado 8
getOrdinalsv4 (/v4/authservices/rest/ordinal/{storeId}),110,sabado 8
getPassiveItems (/v3/authservices/rest/passiveitems/{storeId}),58,sabado 8
getRankingById (/v3/authservices/rest/ranking/{storeId}),44,sabado 8
getRankingPreview (/v3/authservices/rest/ranking/{storeId}/preview),63,sabado 8
getSaleById (/v3/authservices/rest/sale/{storeId}),1320,sabado 8
getSalesDateInfo (/v3/authservices/rest/filter/{storeId}/sales),57,sabado 8
getStockBreakdownByStoreId (/v3/authservices/rest/stock/{storeId}/breakdown),67,sabado 8
getStockById (/v3/authservices/rest/stock/{storeId}),70,sabado 8
getWeatherById (/v3/authservices/rest/weather/{storeId}),292,sabado 8
