"uri","count","dia","uriNominal"
"getAppVersionInfov4 (/v4/authservices/rest/version/{appVersion})",105,"lunes 10",1
"getBreakdownById (/v3/authservices/rest/breakdown/{storeId})",319,"lunes 10",2
"getCoverageByStoreId (/v3/authservices/rest/coverage/{storeId})",123,"lunes 10",3
"getCoverageChartByStoreId (/v3/authservices/rest/coverage/{storeId}/chart)",163,"lunes 10",4
"getCriteriaType (/v3/authservices/rest/filter/{storeId}/criteriaType)",99,"lunes 10",5
"getFilters (/v3/authservices/rest/filter/{storeId})",224,"lunes 10",6
"getOrdinalsv4 (/v4/authservices/rest/ordinal/{storeId})",100,"lunes 10",7
"getPassiveItems (/v3/authservices/rest/passiveitems/{storeId})",156,"lunes 10",8
"getRankingById (/v3/authservices/rest/ranking/{storeId})",86,"lunes 10",9
"getRankingPreview (/v3/authservices/rest/ranking/{storeId}/preview)",160,"lunes 10",10
"getSaleById (/v3/authservices/rest/sale/{storeId})",1140,"lunes 10",11
"getSalesDateInfo (/v3/authservices/rest/filter/{storeId}/sales)",101,"lunes 10",12
"getStockBreakdownByStoreId (/v3/authservices/rest/stock/{storeId}/breakdown)",160,"lunes 10",13
"getStockById (/v3/authservices/rest/stock/{storeId})",163,"lunes 10",14
"getWeatherById (/v3/authservices/rest/weather/{storeId})",225,"lunes 10",15
"getAppVersionInfov4 (/v4/authservices/rest/version/{appVersion})",89,"lunes 3",1
"getBreakdownById (/v3/authservices/rest/breakdown/{storeId})",307,"lunes 3",2
"getCoverageByStoreId (/v3/authservices/rest/coverage/{storeId})",107,"lunes 3",3
"getCoverageChartByStoreId (/v3/authservices/rest/coverage/{storeId}/chart)",159,"lunes 3",4
"getCriteriaType (/v3/authservices/rest/filter/{storeId}/criteriaType)",87,"lunes 3",5
"getFilters (/v3/authservices/rest/filter/{storeId})",226,"lunes 3",6
"getOrdinalsv4 (/v4/authservices/rest/ordinal/{storeId})",88,"lunes 3",7
"getPassiveItems (/v3/authservices/rest/passiveitems/{storeId})",157,"lunes 3",8
"getRankingById (/v3/authservices/rest/ranking/{storeId})",89,"lunes 3",9
"getRankingPreview (/v3/authservices/rest/ranking/{storeId}/preview)",143,"lunes 3",10
"getSaleById (/v3/authservices/rest/sale/{storeId})",1090,"lunes 3",11
"getSalesDateInfo (/v3/authservices/rest/filter/{storeId}/sales)",79,"lunes 3",12
"getStockBreakdownByStoreId (/v3/authservices/rest/stock/{storeId}/breakdown)",148,"lunes 3",13
"getStockById (/v3/authservices/rest/stock/{storeId})",140,"lunes 3",14
"getWeatherById (/v3/authservices/rest/weather/{storeId})",214,"lunes 3",15
"getAppVersionInfov4 (/v4/authservices/rest/version/{appVersion})",128,"sabado 1",1
"getBreakdownById (/v3/authservices/rest/breakdown/{storeId})",149,"sabado 1",2
"getCoverageByStoreId (/v3/authservices/rest/coverage/{storeId})",16,"sabado 1",3
"getCoverageChartByStoreId (/v3/authservices/rest/coverage/{storeId}/chart)",76,"sabado 1",4
"getCriteriaType (/v3/authservices/rest/filter/{storeId}/criteriaType)",122,"sabado 1",5
"getFilters (/v3/authservices/rest/filter/{storeId})",232,"sabado 1",6
"getOrdinalsv4 (/v4/authservices/rest/ordinal/{storeId})",122,"sabado 1",7
"getPassiveItems (/v3/authservices/rest/passiveitems/{storeId})",72,"sabado 1",8
"getRankingById (/v3/authservices/rest/ranking/{storeId})",31,"sabado 1",9
"getRankingPreview (/v3/authservices/rest/ranking/{storeId}/preview)",70,"sabado 1",10
"getSaleById (/v3/authservices/rest/sale/{storeId})",1430,"sabado 1",11
"getSalesDateInfo (/v3/authservices/rest/filter/{storeId}/sales)",51,"sabado 1",12
"getStockBreakdownByStoreId (/v3/authservices/rest/stock/{storeId}/breakdown)",73,"sabado 1",13
"getStockById (/v3/authservices/rest/stock/{storeId})",77,"sabado 1",14
"getWeatherById (/v3/authservices/rest/weather/{storeId})",329,"sabado 1",15
"getAppVersionInfov4 (/v4/authservices/rest/version/{appVersion})",113,"sabado 8",1
"getBreakdownById (/v3/authservices/rest/breakdown/{storeId})",135,"sabado 8",2
"getCoverageByStoreId (/v3/authservices/rest/coverage/{storeId})",15,"sabado 8",3
"getCoverageChartByStoreId (/v3/authservices/rest/coverage/{storeId}/chart)",74,"sabado 8",4
"getCriteriaType (/v3/authservices/rest/filter/{storeId}/criteriaType)",109,"sabado 8",5
"getFilters (/v3/authservices/rest/filter/{storeId})",249,"sabado 8",6
"getOrdinalsv4 (/v4/authservices/rest/ordinal/{storeId})",110,"sabado 8",7
"getPassiveItems (/v3/authservices/rest/passiveitems/{storeId})",58,"sabado 8",8
"getRankingById (/v3/authservices/rest/ranking/{storeId})",44,"sabado 8",9
"getRankingPreview (/v3/authservices/rest/ranking/{storeId}/preview)",63,"sabado 8",10
"getSaleById (/v3/authservices/rest/sale/{storeId})",1320,"sabado 8",11
"getSalesDateInfo (/v3/authservices/rest/filter/{storeId}/sales)",57,"sabado 8",12
"getStockBreakdownByStoreId (/v3/authservices/rest/stock/{storeId}/breakdown)",67,"sabado 8",13
"getStockById (/v3/authservices/rest/stock/{storeId})",70,"sabado 8",14
"getWeatherById (/v3/authservices/rest/weather/{storeId})",292,"sabado 8",15
